,text,label,id
0, Orange Is the New Black star Yael Stone is renouncing her U S green card to return to her native Australia in order to fight climate change ,0,0
1, We have one beautiful law Trump recently said in his characteristically bizarre syntax and diction repeating the word beautiful ,1,1
2, immigrants as criminals and eugenics all of which were once considered fringe and extreme White nationalists embrace white supremacist and white separatist views ,1,2
3, we sounded the alarm in the early months of Trump s presidency when prime time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like Western civilization to package the idea that white people are inherently more civilized while people of color are a threat to national stability ,1,3
4, Black Lives Matter is essentially a non falsifiable religious cult that sets itself specifically against Christianity just like the French Revolution did ,1,4
5, Democrats employ their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election ,1,5
6, Newsoms s obsession with masks has created an almost hostile environment in our neighborhoods and streets ,1,6
7, Newsoms s onslaught of propaganda ignores conflicting science on mask wearing some studies suggest it may even increase infection and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone ,1,7
8, The police now prefer to think of themselves more like glorified social workers there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals ,1,8
9, A new low Washington Post media critic blows up Tucker Carlson s absurd lies about white nationalism,1,9
10, Gangster capitalist Trump is running a mafia state and things are about to get worse Pulitzer Prize winning journalist,1,10
11, The most progressive president since FDR Biden s policy proposals reveal a pleasant surprise,0,11
12, Woke is not a dirty word but a moral duty says a senior BBC editor defending the corporation s decision to repurpose classic novels by giving them more black female and Asian characters even when this is historically inaccurate ,0,12
13, Harry Potter author J K Rowling said on Monday she had recovered from a suspected case of COVID 19 after two weeks of illness ,0,13
14, He won because the Election was Rigged Trump wrote not referring to Biden by name adding a list of complaints about vote counting ,0,14
15, I would shut it down I would listen to the scientists Biden told ABC News alongside his new vice presidential running mate California Sen Kamala Harris ,0,15
16, Mike Pence and the task force have done a great job Trump said during a visit to a mask factory in Arizona ,0,16
17, She will be inheriting a government in crisis the post states touting a plethora of false narratives routinely peddled by Trump s critics ,1,17
18, The goal is to send a message of peace the 22 year old claimed He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd s death with a police officer on the thief s neck ,0,18
19, We can t keep our country closed for the next five years Trump said when asked why it was time to wind down the task force ,0,19
20, You know there s over 100 million people with preexisting conditions he said claiming They weren t able to get insurance before now they cannot be denied insurance ,1,20
21,23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday ,0,21
22,A 10 hour hearing broadcast on the court s website showed Sun China s greatest ever swimmer and one of its biggest sports stars to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English ,0,22
23,A 16 time NBA All Star who is considered one of the greatest basketball players of all time James 35 reacted angrily this week to the shooting of Blake in Kenosha Wisconsin which sparked days of civil unrest ,0,23
24,A 24 year old woman in Uganda unable to travel due to coronavirus restrictions was burned by her Muslim father for purportedly converting to Christianity according to a persecution watchdog group ,0,24
25,A 60 foot chunk of the Ocean Cleanup device deployed with much fanfare in the Great Pacific Garbage Patch in October has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade ,0,25
26,A 70 majority of Americans view the economy as unfairly favoring those with power and large majorities also say politicians giant corporations and wealthy individuals wield too much power over the economy according to Pew Research Center ,0,26
27,A Biden victory would be a victory for radical anti Americanism ,1,27
28,A Biden victory would be a victory for violence in the streets reinforced by an anti police and pro criminal bias ,1,28
29,A Biden victory would ensure government imposed thought police courses that are anti history anti free thought anti White and anti male ,1,29
30,A Biden victory would mean massive tax increases which would propel America into a depression ,1,30
31,A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,0,31
32,A bipartisan group of lawmakers in Mississippi this week began to draft a resolution to change the state s flag as calls have grown to remove the Confederate battle emblem according to a report ,0,32
33,A Black man shot in the back by police in Kenosha Wisconsin was left paralyzed and fighting for his life his family and lawyers said on Tuesday hours before protesters and authorities clashed for a third night of civil unrest in the lakefront town ,0,33
34,A Black man who was stopped on his bicycle for an alleged vehicle code violation was shot to death by two Los Angeles sheriff s deputies who fired 15 to 20 rounds after the man punched one officer and dropped a pistol on the ground authorities said on Tuesday ,0,34
35,A Black man Floyd died in police custody May 25 after a Minneapolis cop kneeled on his neck for more than eight minutes ,0,35
36,A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump s election delusions ended in violence Saturday night in Washington D C ,0,36
37,A bold statement Wednesday from former Secretary of Defense Gen James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus sending members fleeing in all different directions ,1,37
38,A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance saying abortion is worse than pedophilia ,0,38
39,A city council member in Minneapolis was quoted as claiming that there had been no looting or burning on the first night of the protest and that police were to blame for subsequent events because they were incredibly brutal in response ,1,39
40,A code that will blacklist from Oscar consideration any movie that does not meet whatever Orwellian diversity requirements are coming ,1,40
41,A cop shoots a Black man and a police union flexes its muscle,1,41
42,A copy of the flyer also shows the union bosses significant support for mass illegal and legal immigration to the United States an effort to drive up union membership ,1,42
43,A cursory Twitter search reveals that accounts supporting the Antifa terrorist movement can easily be found on the platform ,1,43
44,A Democratic National Convention like no other began on Monday with politicians trading raucous cheers in a crowded arena for speeches delivered from quiet locations across the country because of the coronavirus pandemic ,1,44
45,A diverse group of protesters cheered to hip hop music and tried to argue about police brutality with police officers in riot gear who occasionally lunged into crowds to pluck people out for arrest after bottles and other projectiles were thrown ,1,45
46,A divided federal appeals court on Tuesday rejected Planned Parenthood s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions handing a victory to anti abortion advocates ,0,46
47,A donation based Denver yoga chain which held special classes for minorities and LGBT people was forced to shut down after community activists derided the company as an institution of white supremacy ,1,47
48,A family run network of pro gun groups is behind five of the largest Facebook groups dedicated to protesting the shelter in place restrictions according to an NBC News analysis of Facebook groups and website registration information ,0,48
49,A federal judge dismissed the United States women s soccer team s bid for equal pay on Friday rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions ,0,49
50,A federal judge in Tucson Arizona delivered a blow Monday to the Trump administration s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds ,1,50
51,A federal judge on Monday overturned the Trump administration s approval of a plan by the state of New Hampshire to impose work requirements on people seeking to obtain benefits from the Medicaid health insurance program ,0,51
52,A federal judge on Wednesday temporarily blocked a Trump administration order that allowed state and local governments to refuse the resettling of refugees finding the policy likely unlawful ,0,52
53,A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications according to an NBC News NBC Bay Area investigation ,0,53
54,A fifth of U S trans people reported discrimination when seeking a home and more than one in 10 say they have been evicted for being trans according to the National Center for Transgender Equality ,0,54
55,A firefighter was killed by a falling tree while battling the Australian wildfire crisis overnight and the prime minister on Sunday said his government was adapting and building resilience to the fire danger posed by climate change ,0,55
56,A former Indonesian police brigadier has filed a complaint to the human rights commission claiming he was fired for being gay his lawyers said on Monday in what could be a test case on discrimination in the Southeast Asian country ,0,56
57,A former North Korean diplomat who staged a high profile defection to the South on Saturday urged an old colleague who has gone missing in Italy to defect to Seoul following a report that he was seeking asylum in the United States ,0,57
58,A funeral for a Bangladeshi religious leader drew around 100 000 people in defiance of nationwide coronavirus lockdown ,0,58
59,A gaggle of representatives from theologically liberal denominations recently issued a statement against Christian nationalism in America claiming that it threatens both American democracy and the ability of our religious communities to live in peace ,0,59
60,A Gallup poll reports that women are still more likely to do laundry clean the house do grocery shopping prepare meals wash dishes and make decisions about furniture and decorations even among younger generations who are reportedly more egalitarian as ever ,0,60
61,A gay men s group is claiming that Facebook shut down its page after transgender activists repeatedly reported the group for its stance on gender and sexual orientation ,0,61
62,A good conclusion to draw might be that the charity of the top 0 1 percent and of corporations both are vastly overstated and not even fractionally as useful as simply taxing them at the same effective rate as the rest of us pay so maybe we should get on with that already ,1,62
63,A group of 20 wealthy individuals including left wing financier George Soros signed a letter Monday begging for a wealth tax and arguing that the U S has a moral ethical and economic responsibility to tax wealthy individuals more ,0,63
64,A group of artists climbed ladders up one of the many blast walls snaking through the Afghan capital Kabul this week to paint a mural of George Floyd in solidarity with the anti racism protests kindled by his death in police custody ,0,64
65,A group of House Republicans gathered Tuesday on Capitol Hill to express their anger over two bills proposed by their Democratic colleagues that if passed would drastically tighten federal gun laws ,0,65
66,A group of Idaho politicians including Lt Gov Janice McGeachin appeared in a video in October urging the state to limit restrictions Sitting in a truck with an American flag draped over the side McGeachin placed a gun over a Bible ,0,66
67,A group of Muslim women sued New York City after they said they were forced to remove their hijabs after arrests and be photographed with their head and hair uncovered ,0,67
68,A group of people carrying a white nationalist flag were caught on camera Saturday attempting to record a video in front of the Emmett Till memorial in Sumner Mississippi ,0,68
69,A Guatemalan mom who says she sustained severe chemical burns and was sexually assaulted in front of her young daughter during a kidnapping in Mexico is asking the U S government to let her into the country while her asylum case plays out ,0,69
70,A gunman opened fire at the Molson Coors Beverage Co brewing complex in Milwaukee on Wednesday killing five co workers before he was found dead from an apparently self inflicted gunshot wound the city s police chief said ,0,70
71,A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday ending a standoff with Italy which refused to let the ship dock ,0,71
72,A Joe Biden presidency could reset ties with top U S trade partner Mexico that have suffered since Donald Trump made his first White House bid tarring Mexican migrants as rapists and gun runners and vowing to keep them out with a border wall ,1,72
73,A key part of Warren s revenue calculations to pay for her healthcare overhaul comes from a new tax on the wealthiest 1 of U S individuals or a wealth tax ,0,73
74,A laboratory in China had already successfully grown the virus but had released only the genome sequence not the sample itself the Australian Broadcasting Corp reported ,0,74
75,A lawsuit percolating through the courts attempts to weigh the religious liberty of Orthodox Jews with a dire and compelling public health interest ,1,75
76,A lawyer for Breonna Taylor s family on Friday demanded Kentucky s state attorney general release the evidence presented to a grand jury that decided against charging police officers with homicide in her death during a botched raid ,0,76
77,A leader of a movement that urges women to brag about having an abortion promoted the procedure to children in a video from Cut s HiHo on the YouTube channel ,1,77
78,A leading economist who vouched for Democratic presidential candidate Elizabeth Warren s healthcare reform plan told Reuters on Thursday he doubts its staggering cost can be fully covered alongside her other government programs ,0,78
79,A leading U S group of cancer doctors is wary of new Trump administration proposals for lowering drug prices particularly if new negotiation tools are introduced that will mean the U S government no longer routinely pays for all cancer drugs in the Medicare health program for older people ,0,79
80,A London based Islamic group which purports to be a human rights organisation has had an advertisement claiming the Chinese coronavirus is an act of revenge from Allah pulled from Facebook ,1,80
81,A majority of Americans do not agree with Democrats gun violence demagoguery ,1,81
82,A man was sent to jail for 16 months Friday for calling in a bogus bomb threat at a London airport because he was running late and wanted to delay his flight ,0,82
83,A Minnesota Catholic leader on Wednesday rejected remarks made by a priest who called Islam the greatest threat in the world to the United States and Christianity ,0,83
84,A mix of militia members Confederate followers and supporters of President Donald Trump faced off against more than a hundred left wing protesters some armed many carrying signs or wearing T shirts supporting Black Lives Matter ,0,84
85,A Multnomah County Oregon court had charged Reinoehl with the murder of Aaron Danielson on Saturday and Portland police issued a warrant for his arrest asking U S marshals to locate him ,0,85
86,A Muslim father in Birmingham England is being prosecuted for removing his son from LGBT lessons which he claims risk the safety of his child ,0,86
87,A narrow plurality of Democrats favor allowing men who say they are transgender to enter women s sports but the change is opposed two to one by adults independents parents and middle class voters says a poll by Rasmussen Reports ,0,87
88,A new coronavirus that has killed 26 people in China was confirmed in Europe for the first time on Friday as it spreads despite Chinese attempts to quarantine the city at the heart of the outbreak ,0,88
89,A new report reveals that the 2017 GOP tax law was rife with monumental self dealing by rich GOP lawmakers who have since benefited bigly ,1,89
90,A new Trump administration immigration policy that went into effect Friday has some immigrant communities across the country expressing fear and concern about what happens next for their family members many of whom will no longer be able to move legally to the United States after waiting years for visas ,0,90
91,A plan known as the Fairness for High Skilled Immigrants Act is a boon to Silicon Valley billionaires big business elites and outsourcing firms as they would be able to readily import more lower paid Indian and Chinese foreign workers to take American jobs that would have otherwise gone to American citizens ,1,91
92,A poll released Tuesday finds 75 percent of Americans want substantial restrictions on abortion including 60 percent of Democrats and 61 percent of those who identify as pro choice ,0,92
93,A president completely out of control abusing government power to achieve his political ends and desperate to prevent any check on his colossal Niagara Falls of bullshit is about to make Twitter an object lesson the first trophy in Trump s expanding war against free speech ,1,93
94,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama s time in office when fears that gun control laws would be enacted drove gun aficionados to stock up ,1,94
95,A professor who teaches climate change classes a subject some would question as a legitimate area of study said she has seen students who suffer fear grief stress and anxiety about the future ,0,95
96,A protester could be seen throwing an object at Frey as he slinked away Biden so far has enjoyed the luxury of remaining in his basement hidden away from volatile activists who want answers ,1,96
97,A pro Trump political ad quotes Joe Biden directly and the lying liars at the lying PolitiFact still rate it mostly false ,1,97
98,A push by Virginia Democrats to loosen restrictions on late term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral ,1,98
99,A quarter of Americans have little or no interest in taking a coronavirus vaccine a Reuters Ipsos poll published on Thursday found with some voicing concern that the record pace at which vaccine candidates are being developed could compromise safety ,0,99
100,A recent piece in The Wall Street Journal by Walter Russell Mead has caused a bit of a stir among the chattering classes Headlined The Coronavirus May Make Trump Stronger it argues that President Trump s abysmal and malfeasant handling of the greatest public health emergency in a century is a feature not a bug in his quest for a second term ,1,100
101,A recent study conducted by the Karolinska Institute and Linkoping University in Sweden found biological males claiming to be transgender women who were administered a full year of hormone therapy still maintained muscle mass and strength advantages over biological women ,1,101
102,A recent study found that college students from high income households are borrowing more money for school than students from households with lower incomes The report added that students from wealthier families are responsible for some of the more drastic borrowing increases in recent years ,0,102
103,A reminder The bill that Republicans in Tennessee are trying to quash would make these hygiene products tax free for THREE DAYS once a year ,1,103
104,A report by the United Nations UN falsely blamed President Trump for the detention of 100 000 migrant children who in fact were held in federal immigration custody in 2015 by President Obama ,0,104
105,A report compiled by members of the French Senate has detailed the spread of political Islam across France and listed 44 proposals to combat radical Islamist ideology ,0,105
106,A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland ,1,106
107,A report showed at least 150 neighbourhoods across the country were held by Islamist radicals ,1,107
108,A Republican group opposed to President Donald Trump is urging voters to end his American carnage by voting him out of office in November And it s using one of Trump s favorite TV shows to spread the message ,0,108
109,A resounding primary win by Democratic U S Representative Alexandria Ocasio Cortez and a fellow liberal s lead over a longtime New York congressman signaled fresh momentum for progressive politics amid growing calls for economic and racial justice in the United States ,0,109
110,A review of his posts in online message boards revealed he wanted to plant neo Nazi propaganda inside Nevada middle and high schools ,1,110
111,A second patient a 58 year old obese woman with diabetes and arterial hypertension suffered multi organ failure and eventually died of a cardiac arrest According to the authors of the Lancet article they discovered lymphocytic endotheliitis in lung heart kidney and liver as well as liver cell necrosis ,0,111
112,A senior Democrat on a congressional panel seeking President Donald Trump s tax returns warned on Saturday that the current Congress may not see the long sought tax documents without launching an impeachment inquiry ,0,112
113,A senior official at the University of British Columbia has resigned after he liked a series of Tweets that criticized the Black Lives Matter anti racism campaign the university and local media said ,0,113
114,A sharp drop in temperatures and wind speed combined with vehicle and industrial emissions dust from building sites and smoke from garbage burning has boosted pollution over much of north India including New Delhi home to more than 20 million ,0,114
115,A shocking new study says that the ice in the Arctic Ocean will disappear by 2050 which could have substantial implications on the ecosystem and the climate in the region ,0,115
116,A slew of other world leaders and senior officials lined up to express their dismay over what they said was Trump s willingness to hamper the WHO just when the world needs it the most ,0,116
117,A small group of Black teenage girls carrying megaphones stood in front of the federal courthouse in downtown Portland near midnight on Thursday facing a largely white band of protesters ,0,117
118,A solid majority of student loan borrowers in a recent survey said they would trade their 2020 vote for debt forgiveness ,0,118
119,A specter is haunting the West our elites see intolerant authoritarianism along with a plethora of related phobias and isms everywhere ,1,119
120,A study shows that the number of children getting routine vaccines to protect them from dangerous diseases has dramatically declined in the wake of the coronavirus ,1,120
121,A Supreme Court filing lays bare the deep chasm between prominent Republicans who believe in the rule of law and wannabe president for life Donald Trump whose says he enjoys absolute immunity from any inquiry into his conduct ,1,121
122,A surge in people buying guns since the coronavirus pandemic began has flooded the FBI s background check system causing a spike in the number of delayed checks and allowing gun sales to proceed without them FBI data disclosed on Tuesday showed ,0,122
123,A tanker truck drove through thousands of people marching on a Minneapolis highway to protest the death of George Floyd on Sunday before protesters dragged the driver from the cab and beat him according to a Reuters witness and authorities ,0,123
